season_year,round_number,circuit_id,driver_id,starting_grid_position,finishing_position,grid_penalty_places,grid_penalty_flag,q2_flag,q3_flag,driver_points_scored,driver_championship_rank,constructor_id,constructor_points_scored,constructor_championship_rank,rqtd_sec,rqtd_pct
2022,12,ricard,perez,3,4,0,0,1,1,163,3,red_bull,396,1,0.46300000000000807,0.5095078792147323
2022,12,ricard,sainz,19,5,10,1,1,1,144,4,ferrari,314,2,0.20900000000000318,0.22999383748569802
2022,12,ricard,alonso,7,6,0,0,1,1,37,10,alpine,93,4,1.6799999999999926,1.8487542917510202
2022,12,ricard,norris,5,7,0,0,1,1,70,7,mclaren,89,5,1.1599999999999966,1.2765208204947642
2022,12,ricard,ocon,10,8,-2,0,1,0,56,8,alpine,93,4,2.176000000000002,2.394576987410857
2022,12,ricard,ricciardo,9,9,-2,0,1,0,19,12,mclaren,89,5,2.049999999999997,2.255920415529533
2022,12,ricard,stroll,15,10,-2,0,0,0,4,18,aston_martin,19,9,2.566999999999993,2.8248525398362423
2022,12,ricard,vettel,12,11,-2,0,1,0,15,14,aston_martin,19,9,2.4040000000000106,2.645479355577085
2022,12,ricard,gasly,14,12,-2,0,0,0,16,13,alphatauri,27,8,2.566999999999993,2.8248525398362423
2022,12,ricard,albon,13,13,-2,0,1,0,3,19,williams,3,10,2.4350000000000023,2.679593274055825
2022,12,ricard,bottas,11,14,-2,0,1,0,46,9,alfa,51,6,2.161999999999992,2.3791707016462604
2022,12,ricard,mick_schumacher,17,15,-2,0,0,0,12,15,haas,34,7,2.8289999999999935,3.113170173430757
2022,12,ricard,zhou,16,16,-2,0,0,0,5,17,alfa,51,6,2.8020000000000067,3.0834580508847687
2022,12,ricard,latifi,18,17,-2,0,0,0,0,20,williams,3,10,2.921999999999997,3.2155119288669765
2022,12,ricard,kevin_magnussen,20,18,10,1,1,1,22,11,haas,34,7,1.777000000000001,1.955497843119991
2022,12,ricard,leclerc,1,19,0,0,1,1,170,2,ferrari,314,2,0.0,0.0
2022,12,ricard,tsunoda,8,20,0,0,1,1,11,16,alphatauri,27,8,1.9080000000000013,2.0996566599172484
2022,13,hungaroring,max_verstappen,10,1,0,0,1,1,258,1,red_bull,431,1,0.3260000000000076,0.4213138271062622
2022,13,hungaroring,hamilton,7,2,0,0,1,1,146,6,mercedes,304,3,0.6580000000000013,0.8503818964291643
